dataset,error,expected_docs,id,input_cost_usd,matched,model,num_returned,output_cost_usd,query,query_type,returned_docs,returned_scores,top_k,total_cost_usd
ducks,,['duck_technology.md'],f_easy_bubble_shield,0.0001835,True,gemini-3.1-flash-lite,2,0.0001155,What is the Bubble Shield and how does it dissipate enemy fire?,factual,"['duck_technology.md', 'the_duck_wars.md']","[0.6291, 0.6054]",3,0.000299
ducks,,['duck_technology.md'],f_easy_hydro_thrusters,0.0007235,True,gemini-3.1-flash-lite,3,7.2e-05,How do Duck starships generate thrust and what is the visible signature of their drives?,factual,"['duck_technology.md', 'the_duck_wars.md', 'duck_wars_extended_history.md']","[0.8391, 0.7577, 0.7153]",3,0.0007955
ducks,,['duck_technology.md'],f_easy_squeak_drive,0.00072375,True,gemini-3.1-flash-lite,3,0.0001245,What is the Squeak Drive and how does it give Duck ships their maneuverability?,factual,"['duck_technology.md', 'the_duck_wars.md', 'duck_wars_extended_history.md']","[0.8307, 0.776, 0.7343]",3,0.00084825
ducks,,['duck_technology.md'],f_easy_wave_generator,,False,,0,,What is the Wave Generator and what does it do?,factual,[],[],3,
ducks,,"['the_duck_wars.md', 'duck_wars_extended_history.md']",f_easy_drainer_weapon,0.00072375,True,gemini-3.1-flash-lite,3,0.0001245,What was the Spong Drainer weapon and what threat did it pose to Duck hulls?,factual,"['the_duck_wars.md', 'duck_wars_extended_history.md', 'duck_technology.md']","[0.7424, 0.7347, 0.7045]",3,0.00084825
ducks,,"['the_duck_wars.md', 'duck_wars_extended_history.md']",f_easy_loofah_outcome,0.0008955,True,gemini-3.1-flash-lite,3,0.000174,What happened to the Spong fleet at the Battle of the Loofah Line?,factual,"['duck_wars_extended_history.md', 'the_duck_wars.md', 'duck_wars_extended_history.md']","[0.7581, 0.7456, 0.7441]",3,0.0010695000000000001
ducks,,"['the_duck_wars.md', 'duck_wars_extended_history.md']",f_easy_admiral_suds,0.00089475,True,gemini-3.1-flash-lite,3,0.0003255,Who was Admiral Suds and what was his role in the war?,factual,"['the_duck_wars.md', 'duck_wars_extended_history.md', 'duck_wars_extended_history.md']","[0.7018, 0.6767, 0.6519]",3,0.00122025
ducks,,['galactic_gazetteer.md'],f_easy_soapstone,0.0013485,True,gemini-3.1-flash-lite,3,0.00010650000000000001,What is the planet Soapstone and what is its atmosphere like?,factual,"['galactic_gazetteer.md', 'isoprene_planetary_survey.md', 'species_compendium.md']","[0.6763, 0.6538, 0.6294]",3,0.0014550000000000001
ducks,,['galactic_gazetteer.md'],f_easy_whirlpoolia,0.00101575,True,gemini-3.1-flash-lite,3,7.8e-05,What is unusual about the planet Whirlpoolia and where is the Federation outpost there?,factual,"['galactic_gazetteer.md', 'the_duck_wars.md', 'quack_federation_governance.md']","[0.6843, 0.6425, 0.6388]",3,0.0010937499999999999
ducks,,['galactic_gazetteer.md'],f_easy_bristle,0.00134825,True,gemini-3.1-flash-lite,3,0.0001155,What is unusual about the flora on the planet Bristle?,factual,"['galactic_gazetteer.md', 'species_compendium.md', 'isoprene_planetary_survey.md']","[0.6291, 0.6281, 0.6258]",3,0.00146375
ducks,,['galactic_gazetteer.md'],f_easy_latheria,0.00101725,True,gemini-3.1-flash-lite,3,0.00022349999999999998,What kind of world is Latheria and why is it important to the Quack-Federa-tion?,factual,"['the_duck_wars.md', 'galactic_gazetteer.md', 'quack_federation_governance.md']","[0.7597, 0.7366, 0.7302]",3,0.0012407499999999999
ducks,,['quack_federation_governance.md'],f_easy_currency,0.00104775,True,gemini-3.1-flash-lite,3,4.0499999999999995e-05,What is the basic currency of the Quack-Federa-tion and how is it subdivided?,factual,"['quack_federation_governance.md', 'the_duck_wars.md', 'isoprene_planetary_survey.md']","[0.7719, 0.7031, 0.6918]",3,0.00108825
ducks,,['quack_federation_governance.md'],f_easy_council_size,0.00095425,True,gemini-3.1-flash-lite,2,1.8e-05,How many seats does the Tide Council have in total?,factual,"['quack_federation_governance.md', 'isoprene_planetary_survey.md']","[0.6939, 0.6127]",3,0.00097225
ducks,,['quack_federation_governance.md'],f_easy_five_departments,0.00150625,True,gemini-3.1-flash-lite,3,0.000165,What are the five Departments that the Hydromarch presides over?,factual,"['quack_federation_governance.md', 'isoprene_planetary_survey.md', 'isoprene_planetary_survey.md']","[0.6908, 0.6337, 0.6089]",3,0.00167125
ducks,,['species_compendium.md'],f_easy_duck_lifespan,0.001184,True,gemini-3.1-flash-lite,3,2.1e-05,What is the average lifespan of a Duck in standard cycles?,factual,"['species_compendium.md', 'isoprene_planetary_survey.md', 'quack_federation_governance.md']","[0.703, 0.6883, 0.6853]",3,0.001205
ducks,,['species_compendium.md'],f_easy_echo_folk_comms,0.0011845,True,gemini-3.1-flash-lite,3,4.0499999999999995e-05,How do the Echo-Folk communicate and where do they live?,factual,"['species_compendium.md', 'isoprene_planetary_survey.md', 'quack_federation_governance.md']","[0.6488, 0.621, 0.6201]",3,0.001225
