dataset,error,expected_docs,id,input_cost_usd,matched,model,num_returned,output_cost_usd,query,query_type,returned_docs,returned_scores,top_k,total_cost_usd
ducks,,['duck_technology.md'],f_easy_bubble_shield,0.000312,True,gemini-3.1-flash-lite,3,0.0001185,What is the Bubble Shield and how does it dissipate enemy fire?,factual,"['duck_technology.md', 'isoprene_planetary_survey.md', 'the_duck_wars.md']","[0.785, 0.7683, 0.759]",3,0.0004305
ducks,,['duck_technology.md'],f_easy_hydro_thrusters,0.000414,True,gemini-3.1-flash-lite,3,6.9e-05,How do Duck starships generate thrust and what is the visible signature of their drives?,factual,"['duck_technology.md', 'the_duck_wars.md', 'species_compendium.md']","[0.8382, 0.7804, 0.7704]",3,0.000483
ducks,,['duck_technology.md'],f_easy_squeak_drive,0.00030525,True,gemini-3.1-flash-lite,3,0.0001035,What is the Squeak Drive and how does it give Duck ships their maneuverability?,factual,"['duck_technology.md', 'the_duck_wars.md', 'quack_federation_governance.md']","[0.8412, 0.7919, 0.7695]",3,0.00040875000000000004
ducks,,['duck_technology.md'],f_easy_wave_generator,9.175e-05,True,gemini-3.1-flash-lite,1,4.0499999999999995e-05,What is the Wave Generator and what does it do?,factual,['duck_technology.md'],[0.7551],3,0.00013225
ducks,,"['the_duck_wars.md', 'duck_wars_extended_history.md']",f_easy_drainer_weapon,0.0004585,True,gemini-3.1-flash-lite,3,9.300000000000001e-05,What was the Spong Drainer weapon and what threat did it pose to Duck hulls?,factual,"['the_duck_wars.md', 'duck_technology.md', 'duck_wars_extended_history.md']","[0.8084, 0.7853, 0.7634]",3,0.0005515
ducks,,"['the_duck_wars.md', 'duck_wars_extended_history.md']",f_easy_loofah_outcome,0.0006335,True,gemini-3.1-flash-lite,3,0.0001875,What happened to the Spong fleet at the Battle of the Loofah Line?,factual,"['duck_wars_extended_history.md', 'the_duck_wars.md', 'duck_wars_extended_history.md']","[0.8161, 0.8108, 0.7948]",3,0.0008209999999999999
ducks,,"['the_duck_wars.md', 'duck_wars_extended_history.md']",f_easy_admiral_suds,0.00038025,True,gemini-3.1-flash-lite,3,0.000294,Who was Admiral Suds and what was his role in the war?,factual,"['the_duck_wars.md', 'duck_wars_extended_history.md', 'duck_wars_extended_history.md']","[0.804, 0.7588, 0.7586]",3,0.0006742499999999999
ducks,,['galactic_gazetteer.md'],f_easy_soapstone,0.00081825,True,gemini-3.1-flash-lite,3,3.9e-05,What is the planet Soapstone and what is its atmosphere like?,factual,"['galactic_gazetteer.md', 'galactic_gazetteer.md', 'isoprene_planetary_survey.md']","[0.8173, 0.8115, 0.8099]",3,0.0008572499999999999
ducks,,['galactic_gazetteer.md'],f_easy_whirlpoolia,0.00081925,True,gemini-3.1-flash-lite,3,7.500000000000001e-05,What is unusual about the planet Whirlpoolia and where is the Federation outpost there?,factual,"['galactic_gazetteer.md', 'galactic_gazetteer.md', 'isoprene_planetary_survey.md']","[0.814, 0.8058, 0.7852]",3,0.00089425
ducks,,['galactic_gazetteer.md'],f_easy_bristle,0.00085,True,gemini-3.1-flash-lite,3,6.000000000000001e-05,What is unusual about the flora on the planet Bristle?,factual,"['galactic_gazetteer.md', 'galactic_gazetteer.md', 'isoprene_planetary_survey.md']","[0.7876, 0.7793, 0.7776]",3,0.00091
ducks,,['galactic_gazetteer.md'],f_easy_latheria,0.0006765,True,gemini-3.1-flash-lite,3,0.000165,What kind of world is Latheria and why is it important to the Quack-Federa-tion?,factual,"['galactic_gazetteer.md', 'quack_federation_governance.md', 'galactic_gazetteer.md']","[0.8007, 0.7931, 0.7903]",3,0.0008415
ducks,,['quack_federation_governance.md'],f_easy_currency,0.00062125,True,gemini-3.1-flash-lite,3,4.0499999999999995e-05,What is the basic currency of the Quack-Federa-tion and how is it subdivided?,factual,"['quack_federation_governance.md', 'quack_federation_governance.md', 'species_compendium.md']","[0.8017, 0.7879, 0.7835]",3,0.0006617499999999999
ducks,,['quack_federation_governance.md'],f_easy_council_size,0.00029025,True,gemini-3.1-flash-lite,2,1.8e-05,How many seats does the Tide Council have in total?,factual,"['quack_federation_governance.md', 'duck_wars_extended_history.md']","[0.7747, 0.7536]",3,0.00030825
ducks,,['quack_federation_governance.md'],f_easy_five_departments,0.000652,True,gemini-3.1-flash-lite,3,0.0001665,What are the five Departments that the Hydromarch presides over?,factual,"['quack_federation_governance.md', 'quack_federation_governance.md', 'isoprene_planetary_survey.md']","[0.7886, 0.7696, 0.764]",3,0.0008185
ducks,,['species_compendium.md'],f_easy_duck_lifespan,0.0008205,True,gemini-3.1-flash-lite,3,2.1e-05,What is the average lifespan of a Duck in standard cycles?,factual,"['species_compendium.md', 'isoprene_planetary_survey.md', 'isoprene_planetary_survey.md']","[0.7714, 0.7587, 0.7513]",3,0.0008415
ducks,,['species_compendium.md'],f_easy_echo_folk_comms,0.000322,True,gemini-3.1-flash-lite,2,3.9e-05,How do the Echo-Folk communicate and where do they live?,factual,"['species_compendium.md', 'duck_technology.md']","[0.7625, 0.7502]",3,0.000361
ducks,,['isoprene_planetary_survey.md'],f_easy_splashport_pop,0.0005685,True,gemini-3.1-flash-lite,2,4.8e-05,What is the population of Splashport and where is the city located?,factual,"['isoprene_planetary_survey.md', 'isoprene_planetary_survey.md']","[0.769, 0.7618]",3,0.0006165
ducks,,['isoprene_planetary_survey.md'],f_easy_polymer_share,0.000634,True,gemini-3.1-flash-lite,3,2.85e-05,What share of Isoprene's economy is accounted for by polymer extraction and processing?,factual,"['isoprene_planetary_survey.md', 'quack_federation_governance.md', 'isoprene_planetary_survey.md']","[0.8011, 0.7947, 0.778]",3,0.0006625
ducks,,['isoprene_planetary_survey.md'],f_easy_buoyant_capacity,0.00052175,True,gemini-3.1-flash-lite,3,3.0000000000000004e-05,What is the sustained capital-vessel construction capacity of the Buoyant Yards per cycle?,factual,"['quack_federation_governance.md', 'isoprene_planetary_survey.md', 'isoprene_planetary_survey.md']","[0.7915, 0.78, 0.778]",3,0.0005517499999999999
ducks,,['isoprene_planetary_survey.md'],f_easy_way_of_tides_pct,0.00081,True,gemini-3.1-flash-lite,3,3.9e-05,What percentage of Isoprene's population practices the Way of the Tides?,factual,"['isoprene_planetary_survey.md', 'isoprene_planetary_survey.md', 'isoprene_planetary_survey.md']","[0.7906, 0.7723, 0.7721]",3,0.0008489999999999999
ducks,,['duck_wars_extended_history.md'],f_med_battlebill,0.00010175,False,gemini-3.1-flash-lite,1,4.6500000000000005e-05,What was the Mark-VII Battlebill and what wartime problem did it solve?,factual,['the_duck_wars.md'],[0.7667],3,0.00014825
ducks,,['duck_wars_extended_history.md'],f_med_loofah_accord_year,0.00057325,True,gemini-3.1-flash-lite,3,2.7e-05,In what standard cycle was the Loofah Accord signed?,factual,"['duck_wars_extended_history.md', 'isoprene_planetary_survey.md', 'duck_wars_extended_history.md']","[0.7834, 0.7653, 0.7614]",3,0.00060025
ducks,,['duck_wars_extended_history.md'],f_med_long_withdrawal,0.000481,True,gemini-3.1-flash-lite,3,3.6e-05,What was the Long Withdrawal and which worlds anchored the resulting defensive arc?,factual,"['the_duck_wars.md', 'isoprene_planetary_survey.md', 'duck_wars_extended_history.md']","[0.7816, 0.772, 0.7666]",3,0.000517
ducks,,['isoprene_planetary_survey.md'],f_med_reedwater_act,0.00055725,True,gemini-3.1-flash-lite,3,9.6e-05,"What does the Reedwater Conservation Act protect, and roughly how many harvesting licenses are issued per cycle?",factual,"['quack_federation_governance.md', 'isoprene_planetary_survey.md', 'isoprene_planetary_survey.md']","[0.7657, 0.7565, 0.7552]",3,0.00065325
ducks,,['isoprene_planetary_survey.md'],f_med_stillwater_protocol,0.000161,True,gemini-3.1-flash-lite,2,7.500000000000001e-05,What is the Stillwater Protocol and what is the designated primary continuity-of-government site?,factual,"['isoprene_planetary_survey.md', 'duck_wars_extended_history.md']","[0.8105, 0.7731]",3,0.00023600000000000002
ducks,,['isoprene_planetary_survey.md'],f_med_trans_continental_canal,,False,,0,,How long is the Trans-Continental Canal and what does it connect?,factual,[],[],3,
ducks,,['quack_federation_governance.md'],f_med_first_paddler,0.000532,True,gemini-3.1-flash-lite,2,3.7500000000000003e-05,Who currently holds the office of First Paddler and which Paddle is she from?,factual,"['quack_federation_governance.md', 'isoprene_planetary_survey.md']","[0.7807, 0.7532]",3,0.0005695
ducks,,['quack_federation_governance.md'],f_med_hydromarch_term,0.0002925,True,gemini-3.1-flash-lite,2,2.7e-05,"How long is the Hydromarch's term of office, and may they be reappointed?",factual,"['duck_wars_extended_history.md', 'quack_federation_governance.md']","[0.7778, 0.7653]",3,0.0003195
ducks,,['quack_federation_governance.md'],f_med_ripple_protocol,0.0003985,True,gemini-3.1-flash-lite,2,6.3e-05,What is the Ripple Protocol and how many readings does a Council proposal require?,factual,"['quack_federation_governance.md', 'isoprene_planetary_survey.md']","[0.7566, 0.754]",3,0.0004615
ducks,,['isoprene_planetary_survey.md'],f_med_reedwater_league,0.000818,True,gemini-3.1-flash-lite,3,8.55e-05,What was the Reedwater League and which modern Federation institution traces direct descent from its Council of Reedmasters?,factual,"['isoprene_planetary_survey.md', 'quack_federation_governance.md', 'isoprene_planetary_survey.md']","[0.8282, 0.7816, 0.7732]",3,0.0009035
ducks,,['species_compendium.md'],f_med_mistral_wisps,0.0003225,True,gemini-3.1-flash-lite,2,0.000144,What are Mistral Wisps and how does their emergent cognition arise and persist?,factual,"['species_compendium.md', 'duck_technology.md']","[0.7768, 0.7507]",3,0.0004665
ducks,,['species_compendium.md'],f_med_precursor_tier,0.000391,True,gemini-3.1-flash-lite,3,4.9500000000000004e-05,How does the Office of Xenology classify Precursor artifacts and what must be done when one is recovered?,factual,"['species_compendium.md', 'duck_wars_extended_history.md', 'isoprene_planetary_survey.md']","[0.7915, 0.7769, 0.7582]",3,0.00044050000000000003
ducks,,['duck_wars_extended_history.md'],f_med_pondreader_framework,0.0002625,True,gemini-3.1-flash-lite,1,0.0001095,What did Doctora-Hen Pondreader argue was the true nature of Spong chemical signaling?,factual,['duck_wars_extended_history.md'],[0.7638],3,0.000372
ducks,,['duck_wars_extended_history.md'],f_med_first_splish_splash,0.00063475,True,gemini-3.1-flash-lite,3,9.449999999999999e-05,"When did open war begin between the Federation and the Spong, and what was lost in the initial engagement?",factual,"['duck_wars_extended_history.md', 'the_duck_wars.md', 'duck_wars_extended_history.md']","[0.8552, 0.8191, 0.7997]",3,0.00072925
ducks,,['isoprene_planetary_survey.md'],f_med_glassine_uni_year,,False,,0,,In what cycle was the University of Glassine founded?,factual,[],[],3,
ducks,,['galactic_gazetteer.md'],f_hard_squeak_minor_vs_others,0.0004405,True,gemini-3.1-flash-lite,3,5.5499999999999994e-05,Why does any movement on the surface of Squeak Minor generate high-pitched squeaking sounds?,factual,"['duck_technology.md', 'galactic_gazetteer.md', 'the_duck_wars.md']","[0.775, 0.7592, 0.7529]",3,0.0004959999999999999
ducks,,['duck_technology.md'],f_hard_bubble_disambiguation,0.00034275,True,gemini-3.1-flash-lite,3,3.7500000000000003e-05,Which Federation defensive technology works by absorbing energy in a layered field that 'pops' on impact?,factual,"['duck_technology.md', 'quack_federation_governance.md', 'isoprene_planetary_survey.md']","[0.8241, 0.7924, 0.7863]",3,0.00038025
ducks,,['isoprene_planetary_survey.md'],f_hard_hardshell_squeakish,,False,,0,,Which Paddle dialect is so divergent that some linguists classify it as a separate language?,factual,[],[],3,
ducks,,['species_compendium.md'],f_hard_bristlers_reclassified,0.00077775,True,gemini-3.1-flash-lite,3,3.9e-05,"In what cycle were the Bristlers of Bristle reclassified as potentially sapient, and who led the work?",factual,"['species_compendium.md', 'duck_wars_extended_history.md', 'isoprene_planetary_survey.md']","[0.8084, 0.792, 0.7794]",3,0.00081675
ducks,,['quack_federation_governance.md'],f_hard_treaty_long_hum,0.000383,True,gemini-3.1-flash-lite,3,8.7e-05,What is the Treaty of the Long Hum and what unique citizenship arrangement did it establish?,factual,"['duck_wars_extended_history.md', 'quack_federation_governance.md', 'the_duck_wars.md']","[0.7606, 0.7594, 0.7509]",3,0.00047
