dataset,error,expected_docs,id,input_cost_usd,matched,model,num_returned,output_cost_usd,query,query_type,returned_docs,returned_scores,top_k,total_cost_usd
ducks,,['duck_technology.md'],f_easy_bubble_shield,0.0001835,True,gemini-3.1-flash-lite,2,0.00012000000000000002,What is the Bubble Shield and how does it dissipate enemy fire?,factual,"['duck_technology.md', 'the_duck_wars.md']","[0.785, 0.759]",3,0.0003035
ducks,,['duck_technology.md'],f_easy_hydro_thrusters,0.000414,True,gemini-3.1-flash-lite,3,6.75e-05,How do Duck starships generate thrust and what is the visible signature of their drives?,factual,"['duck_technology.md', 'the_duck_wars.md', 'species_compendium.md']","[0.8382, 0.7804, 0.7704]",3,0.0004815
ducks,,['duck_technology.md'],f_easy_squeak_drive,0.00041425,True,gemini-3.1-flash-lite,3,0.0001395,What is the Squeak Drive and how does it give Duck ships their maneuverability?,factual,"['duck_technology.md', 'the_duck_wars.md', 'species_compendium.md']","[0.8412, 0.7919, 0.7673]",3,0.00055375
ducks,,['duck_technology.md'],f_easy_wave_generator,9.175e-05,True,gemini-3.1-flash-lite,1,4.0499999999999995e-05,What is the Wave Generator and what does it do?,factual,['duck_technology.md'],[0.7551],3,0.00013225
ducks,,"['the_duck_wars.md', 'duck_wars_extended_history.md']",f_easy_drainer_weapon,0.00018475,True,gemini-3.1-flash-lite,2,8.4e-05,What was the Spong Drainer weapon and what threat did it pose to Duck hulls?,factual,"['the_duck_wars.md', 'duck_technology.md']","[0.8084, 0.7853]",3,0.00026875
ducks,,"['the_duck_wars.md', 'duck_wars_extended_history.md']",f_easy_loofah_outcome,0.0008955,True,gemini-3.1-flash-lite,3,0.000204,What happened to the Spong fleet at the Battle of the Loofah Line?,factual,"['the_duck_wars.md', 'duck_wars_extended_history.md', 'duck_wars_extended_history.md']","[0.8108, 0.8066, 0.7709]",3,0.0010995
ducks,,"['the_duck_wars.md', 'duck_wars_extended_history.md']",f_easy_admiral_suds,0.00035575,True,gemini-3.1-flash-lite,2,0.00016350000000000002,Who was Admiral Suds and what was his role in the war?,factual,"['the_duck_wars.md', 'duck_wars_extended_history.md']","[0.804, 0.757]",3,0.00051925
ducks,,['galactic_gazetteer.md'],f_easy_soapstone,0.0013485,True,gemini-3.1-flash-lite,3,9.6e-05,What is the planet Soapstone and what is its atmosphere like?,factual,"['galactic_gazetteer.md', 'isoprene_planetary_survey.md', 'species_compendium.md']","[0.7872, 0.7699, 0.7626]",3,0.0014445
ducks,,['galactic_gazetteer.md'],f_easy_whirlpoolia,0.0007235,True,gemini-3.1-flash-lite,3,7.950000000000001e-05,What is unusual about the planet Whirlpoolia and where is the Federation outpost there?,factual,"['galactic_gazetteer.md', 'duck_technology.md', 'the_duck_wars.md']","[0.7818, 0.7671, 0.7645]",3,0.000803
ducks,,['galactic_gazetteer.md'],f_easy_bristle,0.0003215,False,gemini-3.1-flash-lite,2,0.0001005,What is unusual about the flora on the planet Bristle?,factual,"['species_compendium.md', 'duck_technology.md']","[0.7773, 0.7566]",3,0.000422
ducks,,['galactic_gazetteer.md'],f_easy_latheria,0.00101725,True,gemini-3.1-flash-lite,3,0.0001875,What kind of world is Latheria and why is it important to the Quack-Federa-tion?,factual,"['the_duck_wars.md', 'quack_federation_governance.md', 'galactic_gazetteer.md']","[0.7848, 0.7844, 0.7818]",3,0.0012047499999999999
ducks,,['quack_federation_governance.md'],f_easy_currency,0.00069825,True,gemini-3.1-flash-lite,3,4.0499999999999995e-05,What is the basic currency of the Quack-Federa-tion and how is it subdivided?,factual,"['quack_federation_governance.md', 'species_compendium.md', 'duck_technology.md']","[0.8039, 0.7835, 0.771]",3,0.0007387499999999999
ducks,,['quack_federation_governance.md'],f_easy_council_size,0.000384,True,gemini-3.1-flash-lite,1,1.8e-05,How many seats does the Tide Council have in total?,factual,['quack_federation_governance.md'],[0.7593],3,0.000402
ducks,,['quack_federation_governance.md'],f_easy_five_departments,0.00046725,True,gemini-3.1-flash-lite,2,0.000165,What are the five Departments that the Hydromarch presides over?,factual,"['quack_federation_governance.md', 'duck_technology.md']","[0.7789, 0.7518]",3,0.00063225
ducks,,['species_compendium.md'],f_easy_duck_lifespan,0.000239,True,gemini-3.1-flash-lite,1,2.1e-05,What is the average lifespan of a Duck in standard cycles?,factual,['species_compendium.md'],[0.7714],3,0.00026000000000000003
ducks,,['species_compendium.md'],f_easy_echo_folk_comms,0.000322,True,gemini-3.1-flash-lite,2,4.2e-05,How do the Echo-Folk communicate and where do they live?,factual,"['species_compendium.md', 'duck_technology.md']","[0.7625, 0.7502]",3,0.000364
ducks,,['isoprene_planetary_survey.md'],f_easy_splashport_pop,0.000351,True,gemini-3.1-flash-lite,1,6.000000000000001e-05,What is the population of Splashport and where is the city located?,factual,['isoprene_planetary_survey.md'],[0.7567],3,0.000411
ducks,,['isoprene_planetary_survey.md'],f_easy_polymer_share,0.00147325,True,gemini-3.1-flash-lite,3,2.85e-05,What share of Isoprene's economy is accounted for by polymer extraction and processing?,factual,"['isoprene_planetary_survey.md', 'isoprene_planetary_survey.md', 'isoprene_planetary_survey.md']","[0.7725, 0.7598, 0.7545]",3,0.00150175
ducks,,['isoprene_planetary_survey.md'],f_easy_buoyant_capacity,0.0004345,True,gemini-3.1-flash-lite,2,3.6e-05,What is the sustained capital-vessel construction capacity of the Buoyant Yards per cycle?,factual,"['duck_technology.md', 'isoprene_planetary_survey.md']","[0.753, 0.7523]",3,0.0004705
ducks,,['isoprene_planetary_survey.md'],f_easy_way_of_tides_pct,0.001473,True,gemini-3.1-flash-lite,3,3.45e-05,What percentage of Isoprene's population practices the Way of the Tides?,factual,"['isoprene_planetary_survey.md', 'isoprene_planetary_survey.md', 'isoprene_planetary_survey.md']","[0.7816, 0.7533, 0.7509]",3,0.0015075
ducks,,['duck_wars_extended_history.md'],f_med_battlebill,0.00010175,False,gemini-3.1-flash-lite,1,5.2499999999999995e-05,What was the Mark-VII Battlebill and what wartime problem did it solve?,factual,['the_duck_wars.md'],[0.7667],3,0.00015425
ducks,,['duck_wars_extended_history.md'],f_med_loofah_accord_year,0.00069625,True,gemini-3.1-flash-lite,3,2.7e-05,In what standard cycle was the Loofah Accord signed?,factual,"['duck_wars_extended_history.md', 'isoprene_planetary_survey.md', 'the_duck_wars.md']","[0.7842, 0.7515, 0.7508]",3,0.00072325
ducks,,['duck_wars_extended_history.md'],f_med_long_withdrawal,0.00035575,True,gemini-3.1-flash-lite,2,5.1e-05,What was the Long Withdrawal and which worlds anchored the resulting defensive arc?,factual,"['the_duck_wars.md', 'duck_wars_extended_history.md']","[0.7816, 0.7547]",3,0.00040675
ducks,,['isoprene_planetary_survey.md'],f_med_reedwater_act,0.0003525,True,gemini-3.1-flash-lite,1,0.000102,"What does the Reedwater Conservation Act protect, and roughly how many harvesting licenses are issued per cycle?",factual,['isoprene_planetary_survey.md'],[0.757],3,0.0004545
ducks,,['isoprene_planetary_survey.md'],f_med_stillwater_protocol,,False,,0,,What is the Stillwater Protocol and what is the designated primary continuity-of-government site?,factual,[],[],3,
ducks,,['isoprene_planetary_survey.md'],f_med_trans_continental_canal,,False,,0,,How long is the Trans-Continental Canal and what does it connect?,factual,[],[],3,
ducks,,['quack_federation_governance.md'],f_med_first_paddler,0.00038525,True,gemini-3.1-flash-lite,1,3.7500000000000003e-05,Who currently holds the office of First Paddler and which Paddle is she from?,factual,['quack_federation_governance.md'],[0.7629],3,0.00042275
ducks,,['quack_federation_governance.md'],f_med_hydromarch_term,,False,,0,,"How long is the Hydromarch's term of office, and may they be reappointed?",factual,[],[],3,
ducks,,['quack_federation_governance.md'],f_med_ripple_protocol,,False,,0,,What is the Ripple Protocol and how many readings does a Council proposal require?,factual,[],[],3,
ducks,,['isoprene_planetary_survey.md'],f_med_reedwater_league,0.00056025,False,gemini-3.1-flash-lite,3,5.2499999999999995e-05,What was the Reedwater League and which modern Federation institution traces direct descent from its Council of Reedmasters?,factual,"['the_duck_wars.md', 'quack_federation_governance.md', 'duck_technology.md']","[0.7675, 0.7666, 0.7649]",3,0.00061275
ducks,,['species_compendium.md'],f_med_mistral_wisps,0.0003225,True,gemini-3.1-flash-lite,2,0.000135,What are Mistral Wisps and how does their emergent cognition arise and persist?,factual,"['species_compendium.md', 'duck_technology.md']","[0.7768, 0.7507]",3,0.0004575
ducks,,['species_compendium.md'],f_med_precursor_tier,0.00024125,True,gemini-3.1-flash-lite,1,4.9500000000000004e-05,How does the Office of Xenology classify Precursor artifacts and what must be done when one is recovered?,factual,['species_compendium.md'],[0.7915],3,0.00029075
ducks,,['duck_wars_extended_history.md'],f_med_pondreader_framework,,False,,0,,What did Doctora-Hen Pondreader argue was the true nature of Spong chemical signaling?,factual,[],[],3,
ducks,,['duck_wars_extended_history.md'],f_med_first_splish_splash,0.00089675,True,gemini-3.1-flash-lite,3,7.950000000000001e-05,"When did open war begin between the Federation and the Spong, and what was lost in the initial engagement?",factual,"['the_duck_wars.md', 'duck_wars_extended_history.md', 'duck_wars_extended_history.md']","[0.8191, 0.8055, 0.7958]",3,0.00097625
ducks,,['isoprene_planetary_survey.md'],f_med_glassine_uni_year,,False,,0,,In what cycle was the University of Glassine founded?,factual,[],[],3,
ducks,,['galactic_gazetteer.md'],f_hard_squeak_minor_vs_others,0.00052625,False,gemini-3.1-flash-lite,3,4.5e-05,Why does any movement on the surface of Squeak Minor generate high-pitched squeaking sounds?,factual,"['duck_technology.md', 'isoprene_planetary_survey.md', 'the_duck_wars.md']","[0.775, 0.7534, 0.7529]",3,0.00057125
ducks,,['duck_technology.md'],f_hard_bubble_disambiguation,0.0004395,True,gemini-3.1-flash-lite,3,6e-06,Which Federation defensive technology works by absorbing energy in a layered field that 'pops' on impact?,factual,"['duck_technology.md', 'the_duck_wars.md', 'duck_wars_extended_history.md']","[0.8241, 0.7761, 0.7586]",3,0.0004455
ducks,,['isoprene_planetary_survey.md'],f_hard_hardshell_squeakish,,False,,0,,Which Paddle dialect is so divergent that some linguists classify it as a separate language?,factual,[],[],3,
ducks,,['species_compendium.md'],f_hard_bristlers_reclassified,0.00066525,True,gemini-3.1-flash-lite,3,5.1e-05,"In what cycle were the Bristlers of Bristle reclassified as potentially sapient, and who led the work?",factual,"['species_compendium.md', 'isoprene_planetary_survey.md', 'duck_technology.md']","[0.8084, 0.7559, 0.7528]",3,0.0007162500000000001
ducks,,['quack_federation_governance.md'],f_hard_treaty_long_hum,0.000102,False,gemini-3.1-flash-lite,1,5.2499999999999995e-05,What is the Treaty of the Long Hum and what unique citizenship arrangement did it establish?,factual,['the_duck_wars.md'],[0.7509],3,0.0001545
ducks,,['duck_wars_extended_history.md'],f_hard_first_year_losses,0.000896,True,gemini-3.1-flash-lite,3,2.4e-05,Approximately how many capital vessels did the Federation lose in the first cycle of the Great Duck Wars?,factual,"['the_duck_wars.md', 'duck_wars_extended_history.md', 'duck_wars_extended_history.md']","[0.8239, 0.8146, 0.8083]",3,0.00092
ducks,,['duck_wars_extended_history.md'],f_hard_glossy_feather,0.0006435,True,gemini-3.1-flash-lite,2,4.8e-05,"Which survey vessel produced the first hint that the Sudsy Reaches contained intelligence, and how long did the report sit in the archive?",factual,"['the_duck_wars.md', 'duck_wars_extended_history.md']","[0.765, 0.7566]",3,0.0006915
ducks,,"['quack_federation_governance.md', 'isoprene_planetary_survey.md']",f_hard_council_platform,0.00038325,True,gemini-3.1-flash-lite,1,3.0000000000000004e-05,Where does the Tide Council physically convene?,factual,['quack_federation_governance.md'],[0.7561],3,0.00041325000000000004
ducks,,['isoprene_planetary_survey.md'],f_hard_squeak_grass,,False,,0,,Which species of Isoprene grass produces audible high-frequency tones when disturbed by wind?,factual,[],[],3,
ducks,,['isoprene_planetary_survey.md'],f_hard_golden_ripple,0.00052575,True,gemini-3.1-flash-lite,3,6.45e-05,What is the Golden Ripple and what role does it play in Squeakish architecture?,factual,"['isoprene_planetary_survey.md', 'duck_technology.md', 'the_duck_wars.md']","[0.7787, 0.7707, 0.7545]",3,0.00059025
