dataset,error,expected_docs,id,input_cost_usd,matched,model,num_returned,output_cost_usd,query,query_type,returned_docs,returned_scores,top_k,total_cost_usd
ducks,,['duck_technology.md'],f_easy_bubble_shield,7.7e-05,True,gemini-3.1-flash-lite,1,0.000117,What is the Bubble Shield and how does it dissipate enemy fire?,factual,['duck_technology.md'],[-0.2784],3,0.000194
ducks,,['duck_technology.md'],f_easy_hydro_thrusters,7.8e-05,True,gemini-3.1-flash-lite,1,6.75e-05,How do Duck starships generate thrust and what is the visible signature of their drives?,factual,['duck_technology.md'],[1.0004],3,0.0001455
ducks,,['duck_technology.md'],f_easy_squeak_drive,7.825e-05,True,gemini-3.1-flash-lite,1,8.7e-05,What is the Squeak Drive and how does it give Duck ships their maneuverability?,factual,['duck_technology.md'],[0.6891],3,0.00016525
ducks,,['duck_technology.md'],f_easy_wave_generator,2.875e-05,True,gemini-3.1-flash-lite,1,3.0000000000000004e-05,What is the Wave Generator and what does it do?,factual,['duck_technology.md'],[-0.2681],3,5.8750000000000005e-05
ducks,,"['the_duck_wars.md', 'duck_wars_extended_history.md']",f_easy_drainer_weapon,0.0001815,True,gemini-3.1-flash-lite,2,0.000102,What was the Spong Drainer weapon and what threat did it pose to Duck hulls?,factual,"['the_duck_wars.md', 'duck_wars_extended_history.md']","[0.6248, 0.5553]",3,0.0002835
ducks,,"['the_duck_wars.md', 'duck_wars_extended_history.md']",f_easy_loofah_outcome,0.000264,True,gemini-3.1-flash-lite,3,0.000171,What happened to the Spong fleet at the Battle of the Loofah Line?,factual,"['duck_wars_extended_history.md', 'duck_wars_extended_history.md', 'duck_wars_extended_history.md']","[1.5417, 0.7704, 0.6271]",3,0.00043500000000000006
ducks,,"['the_duck_wars.md', 'duck_wars_extended_history.md']",f_easy_admiral_suds,0.00026825,True,gemini-3.1-flash-lite,3,0.00036,Who was Admiral Suds and what was his role in the war?,factual,"['duck_wars_extended_history.md', 'duck_wars_extended_history.md', 'the_duck_wars.md']","[-0.4484, -0.4584, -0.5639]",3,0.00062825
ducks,,['galactic_gazetteer.md'],f_easy_soapstone,6.35e-05,True,gemini-3.1-flash-lite,1,4.6500000000000005e-05,What is the planet Soapstone and what is its atmosphere like?,factual,['galactic_gazetteer.md'],[0.3327],3,0.00011
ducks,,['galactic_gazetteer.md'],f_easy_whirlpoolia,0.00018575,True,gemini-3.1-flash-lite,2,7.65e-05,What is unusual about the planet Whirlpoolia and where is the Federation outpost there?,factual,"['galactic_gazetteer.md', 'isoprene_planetary_survey.md']","[0.1114, -0.2001]",3,0.00026225
ducks,,['galactic_gazetteer.md'],f_easy_bristle,0.0001785,True,gemini-3.1-flash-lite,2,0.000117,What is unusual about the flora on the planet Bristle?,factual,"['species_compendium.md', 'galactic_gazetteer.md']","[0.3345, -0.3882]",3,0.00029549999999999997
